utterance_id,ASR_Start_time,ASR_end_time,fold,MT_label,MT_binary,MT_canonical,MT_word,canonical_phone_reference
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,0.99,1.26,cv_5,c,0,एक,एक,ee k
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,1.26,1.68,cv_5,c,0,राजा,राजा,r AA j AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,1.68,1.98,cv_5,c,0,था,था,th AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,1.98,2.4,cv_5,c,0,उसका,उसका,uu s aa k AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,2.4,2.64,cv_5,c,0,एक,एक,ee k
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,2.64,2.94,cv_5,c,0,बडा,बडा,b aa D AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,2.94,3.09,cv_5,c,0,सा,सा,s AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,3.09,3.45,cv_5,c,0,राज्य,राज्य,r AA j y
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,3.45,3.66,cv_5,c,0,था,था,th AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,3.66,3.99,cv_5,c,0,एक,एक,ee k
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,3.99,4.2,cv_5,c,0,दिन,दिन,d ii n
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,4.2,4.68,cv_5,c,0,उसे,उसे,uu s ee
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,5.16,5.55,cv_5,c,0,देश,देश,d ee sh
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,5.55,6.12,cv_5,c,0,घूमने,घूमने,gh UU m aa n ee
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,6.12,6.45,cv_5,c,0,का,का,k AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,6.72,7.17,cv_5,c,0,विचार,विचार,w ii c AA r
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,7.17,7.44,cv_5,c,0,आया,आया,AA y AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,7.44,7.86,cv_5,c,0,उसने,उसने,uu s aa n ee
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,9.03,9.66,cv_5,c,0,देश,देश,d ee sh
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,10.26,10.53,cv_5,c,0,की,की,k II
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,10.53,11.01,cv_5,c,0,योजना,योजना,y oo j aa n AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,11.01,11.4,cv_5,c,0,बनाई,बनाई,b aa n AA II
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,11.4,11.61,cv_5,c,0,और,और,OO r
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,11.61,12.03,cv_5,c,0,घूमने,घूमने,gh UU m aa n ee
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,12.03,12.39,cv_5,c,0,निकल,निकल,n ii k aa l
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,14.43,14.82,cv_5,c,0,जब,जब,j aa b
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,14.82,15.36,cv_5,c,0,वह,वह,w aa hh
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,15.78,16.32,cv_5,c,0,यात्रा,यात्रा,y AA t r AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,16.32,16.47,cv_5,c,0,से,से,s ee
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,16.47,16.89,cv_5,s,1,लौट,लौटा,l OO T
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,16.89,17.1,cv_5,s,1,कर,तो,k aa r
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,17.1,17.43,cv_5,c,0,अपने,अपने,aa p aa n ee
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,17.43,17.76,cv_5,c,0,महल,महल,m aa hh aa l
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,17.76,18.03,cv_5,c,0,आया,आया,AA y AA
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,18.57,18.93,cv_5,c,0,उसने,उसने,uu s aa n ee
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,18.93,19.23,cv_5,c,0,अपने,अपने,aa p aa n ee
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,19.23,19.92,cv_5,c,0,मंत्रियों,मंत्रियों,m aa q t r ii y oo q
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,19.95,20.22,cv_5,s,1,से,के,s ee
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,20.22,20.7,cv_5,c,0,पैरों,पैरों,p ee r oo q
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,20.7,21.03,cv_5,c,0,में,में,m ee q
aa_3-a-17_kv_kv-hajipur_04122023-000000-1_HI-KV-001_1,21.36,21.78,cv_5,c,0,दर्द,दर्द,d aa r d
